Algorithm,Bracket,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,"[1, 1, 2, 2]",2,43,0.86916184425354,864709,"[3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2]","{0: [6, 9, 11, 7], 1: [7, 10, 6, 8], 2: [8, 11, 9, 7], 3: [10, 8, 9, 6], 4: [10, 7, 11, 9], 5: [8, 6, 11, 10], 6: [5, 1, 3, 0], 7: [1, 2, 0, 4], 8: [1, 5, 3, 2], 9: [3, 4, 2, 0], 10: [5, 3, 1, 4], 11: [0, 2, 5, 4]}"
Genetic,"[1, 1, 2, 2]",2,294,6.128830909729004,605326,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2]","{0: [11, 7, 6, 9], 1: [6, 7, 8, 10], 2: [11, 7, 9, 8], 3: [8, 6, 9, 10], 4: [9, 7, 11, 10], 5: [6, 10, 8, 11], 6: [3, 0, 1, 5], 7: [1, 0, 4, 2], 8: [5, 2, 3, 1], 9: [0, 2, 4, 3], 10: [3, 4, 5, 1], 11: [0, 5, 2, 4]}"
Genetic,"[1, 1, 2, 2]",3,3,0.0818049907684326,751495,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 11, 9, 7], 1: [7, 8, 10, 6], 2: [8, 7, 11, 9], 3: [9, 10, 8, 6], 4: [10, 7, 9, 11], 5: [11, 6, 8, 10], 6: [0, 1, 3, 5], 7: [0, 4, 2, 1], 8: [5, 3, 1, 2], 9: [0, 3, 2, 4], 10: [1, 3, 5, 4], 11: [5, 0, 2, 4]}"
Genetic,"[1, 1, 2, 2]",2,997,20.19226098060608,3886,"[4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2]","{0: [11, 7, 6, 9], 1: [10, 8, 6, 7], 2: [11, 9, 8, 7], 3: [8, 9, 6, 10], 4: [10, 11, 9, 7], 5: [10, 11, 6, 8], 6: [3, 0, 1, 5], 7: [1, 0, 2, 4], 8: [5, 1, 2, 3], 9: [0, 3, 2, 4], 10: [4, 1, 5, 3], 11: [5, 2, 0, 4]}"
Genetic,"[1, 1, 2, 2]",3,1,0.0457761287689209,879768,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 7, 11, 9], 1: [7, 8, 10, 6], 2: [8, 7, 11, 9], 3: [9, 6, 8, 10], 4: [10, 9, 11, 7], 5: [11, 10, 8, 6], 6: [0, 5, 3, 1], 7: [0, 4, 2, 1], 8: [1, 2, 3, 5], 9: [0, 3, 4, 2], 10: [1, 5, 3, 4], 11: [0, 5, 2, 4]}"
Genetic,"[1, 1, 2, 2]",3,5,0.1234166622161865,534965,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [9, 11, 6, 7], 1: [7, 10, 6, 8], 2: [8, 9, 11, 7], 3: [9, 8, 6, 10], 4: [7, 11, 10, 9], 5: [10, 11, 8, 6], 6: [0, 3, 1, 5], 7: [0, 1, 2, 4], 8: [3, 5, 2, 1], 9: [0, 3, 4, 2], 10: [3, 4, 5, 1], 11: [0, 5, 4, 2]}"
Genetic,"[1, 1, 2, 2]",3,2,0.0650150775909423,177099,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 7, 11], 1: [7, 8, 6, 10], 2: [11, 9, 8, 7], 3: [9, 6, 10, 8], 4: [10, 11, 7, 9], 5: [11, 10, 8, 6], 6: [0, 1, 5, 3], 7: [0, 4, 2, 1], 8: [1, 5, 2, 3], 9: [0, 3, 2, 4], 10: [1, 3, 5, 4], 11: [0, 2, 4, 5]}"
Genetic,"[1, 1, 2, 2]",3,21,0.5640161037445068,622976,"[4, 4, 4, 4, 4, 3, 3, 3, 3, 3]","{0: [9, 7, 11, 6], 1: [10, 8, 7, 6], 2: [11, 8, 9, 7], 3: [8, 10, 9, 6], 4: [9, 10, 11, 7], 5: [10, 6, 11, 8], 6: [5, 1, 3, 0], 7: [2, 1, 4, 0], 8: [3, 1, 5, 2], 9: [4, 2, 0, 3], 10: [4, 3, 5, 1], 11: [5, 0, 4, 2]}"
Genetic,"[1, 1, 2, 2]",3,2,0.0649950504302978,536513,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 11, 9, 7], 1: [7, 10, 8, 6], 2: [8, 9, 7, 11], 3: [9, 8, 6, 10], 4: [10, 9, 11, 7], 5: [11, 8, 10, 6], 6: [0, 5, 3, 1], 7: [1, 0, 4, 2], 8: [2, 3, 5, 1], 9: [0, 4, 3, 2], 10: [1, 3, 5, 4], 11: [0, 5, 2, 4]}"
Genetic,"[1, 1, 2, 2]",3,1,0.0475142002105712,854428,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 11, 7], 1: [7, 6, 8, 10], 2: [8, 9, 7, 11], 3: [9, 10, 8, 6], 4: [10, 7, 11, 9], 5: [11, 8, 10, 6], 6: [0, 3, 1, 5], 7: [0, 4, 1, 2], 8: [1, 3, 5, 2], 9: [0, 4, 3, 2], 10: [1, 4, 5, 3], 11: [0, 5, 2, 4]}"
