Algorithm,Bracket,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,"[1, 2, 1, 3]",4,2,0.102741003036499,990938,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [7, 12, 8, 11], 1: [8, 9, 12, 13], 2: [9, 13, 10, 7], 3: [10, 7, 11, 8], 4: [11, 12, 8, 9], 5: [12, 13, 10, 9], 6: [13, 11, 7, 10], 7: [0, 3, 6, 2], 8: [0, 1, 4, 3], 9: [1, 2, 4, 5], 10: [2, 5, 6, 3], 11: [0, 6, 4, 3], 12: [0, 4, 1, 5], 13: [1, 6, 5, 2]}"
Genetic,"[1, 2, 1, 3]",4,1,0.0369691848754882,669941,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [7, 8, 11, 12], 1: [8, 12, 9, 13], 2: [9, 7, 10, 13], 3: [10, 11, 7, 8], 4: [11, 12, 8, 9], 5: [12, 13, 9, 10], 6: [13, 7, 11, 10], 7: [0, 3, 2, 6], 8: [0, 4, 3, 1], 9: [1, 5, 4, 2], 10: [2, 5, 6, 3], 11: [0, 4, 3, 6], 12: [0, 5, 4, 1], 13: [1, 2, 5, 6]}"
Genetic,"[1, 2, 1, 3]",4,2,0.0524401664733886,888440,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [7, 11, 12, 8], 1: [8, 13, 12, 9], 2: [9, 10, 7, 13], 3: [10, 8, 11, 7], 4: [11, 8, 9, 12], 5: [12, 10, 9, 13], 6: [13, 7, 11, 10], 7: [0, 3, 6, 2], 8: [0, 3, 1, 4], 9: [1, 4, 5, 2], 10: [2, 5, 6, 3], 11: [0, 4, 3, 6], 12: [0, 4, 5, 1], 13: [1, 6, 5, 2]}"
Genetic,"[1, 2, 1, 3]",4,5,0.0897319316864013,656329,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [7, 11, 12, 8], 1: [8, 12, 9, 13], 2: [9, 7, 10, 13], 3: [10, 11, 7, 8], 4: [8, 12, 9, 11], 5: [12, 10, 9, 13], 6: [13, 7, 11, 10], 7: [0, 3, 6, 2], 8: [0, 4, 1, 3], 9: [1, 4, 2, 5], 10: [2, 5, 3, 6], 11: [0, 6, 3, 4], 12: [0, 1, 4, 5], 13: [1, 5, 2, 6]}"
Genetic,"[1, 2, 1, 3]",4,2,0.0491302013397216,234340,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [7, 12, 11, 8], 1: [8, 9, 12, 13], 2: [9, 13, 10, 7], 3: [10, 8, 7, 11], 4: [11, 12, 8, 9], 5: [12, 10, 13, 9], 6: [13, 7, 10, 11], 7: [0, 6, 2, 3], 8: [0, 4, 3, 1], 9: [1, 4, 2, 5], 10: [2, 5, 6, 3], 11: [0, 6, 3, 4], 12: [0, 4, 5, 1], 13: [1, 6, 5, 2]}"
Genetic,"[1, 2, 1, 3]",4,1,0.0361928939819335,212590,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [8, 11, 12, 7], 1: [8, 12, 13, 9], 2: [9, 10, 13, 7], 3: [10, 8, 11, 7], 4: [11, 12, 8, 9], 5: [12, 9, 10, 13], 6: [13, 11, 7, 10], 7: [0, 3, 2, 6], 8: [0, 3, 4, 1], 9: [1, 5, 4, 2], 10: [2, 6, 5, 3], 11: [0, 3, 6, 4], 12: [0, 1, 4, 5], 13: [1, 2, 5, 6]}"
Genetic,"[1, 2, 1, 3]",4,1,0.0364251136779785,459465,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [7, 12, 11, 8], 1: [8, 12, 9, 13], 2: [9, 13, 7, 10], 3: [10, 7, 8, 11], 4: [11, 8, 12, 9], 5: [12, 13, 10, 9], 6: [13, 7, 11, 10], 7: [0, 3, 6, 2], 8: [0, 1, 4, 3], 9: [1, 5, 4, 2], 10: [2, 5, 6, 3], 11: [0, 4, 6, 3], 12: [0, 5, 4, 1], 13: [1, 6, 5, 2]}"
Genetic,"[1, 2, 1, 3]",4,1,0.0350069999694824,88404,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [7, 12, 8, 11], 1: [8, 12, 13, 9], 2: [9, 10, 7, 13], 3: [10, 7, 11, 8], 4: [11, 9, 12, 8], 5: [12, 13, 10, 9], 6: [13, 11, 7, 10], 7: [0, 6, 3, 2], 8: [0, 3, 4, 1], 9: [1, 2, 5, 4], 10: [2, 6, 5, 3], 11: [0, 4, 6, 3], 12: [0, 4, 5, 1], 13: [1, 2, 5, 6]}"
Genetic,"[1, 2, 1, 3]",4,2,0.049710988998413,577935,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","{0: [7, 11, 8, 12], 1: [8, 13, 9, 12], 2: [9, 10, 13, 7], 3: [10, 7, 8, 11], 4: [11, 9, 12, 8], 5: [12, 9, 13, 10], 6: [13, 11, 7, 10], 7: [0, 2, 3, 6], 8: [0, 3, 4, 1], 9: [1, 2, 5, 4], 10: [2, 6, 3, 5], 11: [0, 6, 4, 3], 12: [0, 5, 1, 4], 13: [1, 5, 2, 6]}"
Genetic,"[1, 2, 1, 3]",4,21,0.2964169979095459,8937,"[5, 5, 5, 5, 5, 4, 4, 4, 4, 4]","{0: [7, 8, 12, 11], 1: [8, 12, 9, 13], 2: [9, 10, 13, 7], 3: [10, 11, 8, 7], 4: [11, 8, 12, 9], 5: [12, 13, 10, 9], 6: [13, 7, 10, 11], 7: [0, 6, 2, 3], 8: [0, 3, 4, 1], 9: [1, 2, 5, 4], 10: [3, 5, 6, 2], 11: [0, 4, 6, 3], 12: [0, 5, 4, 1], 13: [1, 6, 2, 5]}"
