Algorithm,Number of Nodes,Is Complete,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,9,True,3,1,0.0719339847564697,848474,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [4, 7, 8, 6, 5], 1: [4, 6, 5, 8, 7], 2: [4, 6, 7, 8, 5], 3: [4, 6, 8, 5, 7], 4: [0, 2, 1, 3], 5: [0, 2, 3, 1], 6: [0, 1, 2, 3], 7: [2, 0, 3, 1], 8: [0, 2, 1, 3]}"
Genetic,9,True,2,12,0.1501729488372802,448569,"[3, 3, 3, 3, 2, 2, 2, 2, 2, 2]","{0: [4, 5, 6, 7, 8], 1: [8, 6, 7, 5, 4], 2: [4, 5, 7, 6, 8], 3: [4, 6, 5, 7, 8], 4: [0, 3, 1, 2], 5: [3, 0, 2, 1], 6: [2, 3, 0, 1], 7: [0, 3, 1, 2], 8: [0, 2, 1, 3]}"
Genetic,9,True,3,1,0.0299336910247802,289961,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [4, 7, 5, 8, 6], 1: [4, 7, 6, 8, 5], 2: [4, 5, 7, 8, 6], 3: [4, 6, 5, 8, 7], 4: [0, 3, 1, 2], 5: [2, 1, 3, 0], 6: [0, 2, 1, 3], 7: [0, 3, 1, 2], 8: [0, 3, 1, 2]}"
Genetic,9,True,3,1,0.0297749042510986,722318,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [4, 5, 7, 8, 6], 1: [4, 8, 5, 7, 6], 2: [4, 8, 7, 5, 6], 3: [4, 8, 6, 7, 5], 4: [0, 2, 3, 1], 5: [0, 2, 1, 3], 6: [0, 2, 1, 3], 7: [0, 3, 1, 2], 8: [0, 2, 3, 1]}"
Genetic,9,True,3,2,0.0385751724243164,570010,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [4, 6, 5, 8, 7], 1: [7, 4, 8, 6, 5], 2: [4, 6, 8, 5, 7], 3: [4, 7, 8, 5, 6], 4: [0, 2, 1, 3], 5: [0, 2, 1, 3], 6: [0, 2, 1, 3], 7: [0, 2, 1, 3], 8: [0, 3, 2, 1]}"
Genetic,9,True,3,1,0.0282821655273437,920613,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [4, 5, 6, 7, 8], 1: [4, 8, 7, 6, 5], 2: [4, 5, 8, 6, 7], 3: [4, 8, 5, 6, 7], 4: [0, 1, 3, 2], 5: [0, 2, 3, 1], 6: [3, 0, 1, 2], 7: [0, 3, 1, 2], 8: [0, 3, 2, 1]}"
Genetic,9,True,3,1,0.0294320583343505,586818,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [7, 8, 5, 4, 6], 1: [4, 7, 8, 5, 6], 2: [4, 5, 8, 7, 6], 3: [4, 8, 5, 7, 6], 4: [0, 2, 1, 3], 5: [0, 3, 1, 2], 6: [0, 2, 1, 3], 7: [1, 0, 3, 2], 8: [0, 3, 1, 2]}"
Genetic,9,True,3,2,0.0398387908935546,902855,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [8, 6, 4, 7, 5], 1: [4, 7, 8, 5, 6], 2: [8, 5, 6, 4, 7], 3: [4, 7, 5, 8, 6], 4: [0, 3, 1, 2], 5: [0, 2, 1, 3], 6: [0, 2, 1, 3], 7: [0, 1, 3, 2], 8: [0, 2, 3, 1]}"
Genetic,9,True,2,959,10.535585165023804,344201,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]","{0: [8, 7, 6, 5, 4], 1: [7, 5, 8, 6, 4], 2: [7, 6, 4, 8, 5], 3: [8, 4, 7, 5, 6], 4: [3, 2, 1, 0], 5: [3, 2, 0, 1], 6: [2, 3, 0, 1], 7: [2, 3, 0, 1], 8: [2, 3, 1, 0]}"
Genetic,9,True,2,546,5.997296094894409,999923,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]","{0: [7, 4, 6, 5, 8], 1: [4, 8, 7, 6, 5], 2: [6, 7, 4, 8, 5], 3: [8, 5, 7, 4, 6], 4: [3, 2, 1, 0], 5: [1, 3, 0, 2], 6: [1, 3, 2, 0], 7: [2, 0, 3, 1], 8: [2, 1, 0, 3]}"
