Algorithm,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Simulated_Annealing,13,28.0,294,0.2299592494964599,41454,"[32.0, 32.0, 31.0, 31.0, 31.0, 31.0, 32.0, 30.0, 30.0, 28.0, 28.0]","{0: [1, 2, 5, 11, 9, 6, 7, 3, 12, 4, 8, 10], 1: [0, 12, 3, 8, 7, 11, 9, 10, 5, 2, 6, 4], 2: [0, 7, 3, 1, 10, 12, 5, 9, 8, 11, 4, 6], 3: [0, 6, 9, 8, 5, 7, 4, 2, 11, 10, 12, 1], 4: [0, 3, 5, 8, 12, 11, 9, 10, 6, 7, 2, 1], 5: [0, 11, 6, 7, 10, 1, 2, 3, 9, 12, 4, 8], 6: [0, 10, 12, 8, 4, 11, 2, 5, 9, 3, 7, 1], 7: [0, 10, 3, 5, 2, 6, 12, 4, 1, 11, 8, 9], 8: [0, 7, 9, 2, 4, 3, 1, 6, 12, 11, 10, 5], 9: [0, 4, 12, 11, 5, 10, 6, 8, 1, 2, 3, 7], 10: [0, 7, 3, 9, 8, 12, 4, 6, 2, 5, 1, 11], 11: [0, 4, 7, 10, 3, 1, 6, 9, 8, 12, 2, 5], 12: [0, 1, 2, 9, 5, 11, 7, 4, 10, 8, 6, 3]}"
Simulated_Annealing,13,26.0,505,0.3459560871124267,400295,"[32.0, 31.0, 30.0, 31.0, 31.0, 32.0, 31.0, 32.0, 30.0, 26.0, 26.0]","{0: [1, 5, 6, 12, 2, 8, 4, 3, 7, 9, 11, 10], 1: [0, 8, 11, 4, 6, 2, 7, 12, 3, 9, 10, 5], 2: [0, 4, 5, 1, 8, 3, 7, 12, 6, 9, 11, 10], 3: [0, 4, 7, 12, 8, 5, 11, 10, 6, 9, 2, 1], 4: [0, 7, 3, 10, 6, 11, 12, 5, 9, 1, 2, 8], 5: [0, 6, 1, 4, 12, 10, 8, 3, 11, 9, 7, 2], 6: [0, 1, 4, 11, 9, 3, 2, 12, 7, 8, 5, 10], 7: [0, 5, 8, 2, 4, 10, 6, 3, 9, 11, 1, 12], 8: [0, 2, 12, 11, 9, 1, 3, 7, 10, 5, 4, 6], 9: [0, 11, 7, 10, 6, 2, 8, 4, 3, 5, 1, 12], 10: [0, 9, 1, 11, 12, 8, 3, 7, 4, 5, 6, 2], 11: [0, 7, 9, 4, 8, 10, 5, 2, 6, 3, 12, 1], 12: [0, 5, 9, 7, 2, 1, 8, 11, 10, 4, 3, 6]}"
Simulated_Annealing,13,28.0,171,0.1349020004272461,369162,"[32.0, 32.0, 32.0, 31.0, 32.0, 31.0, 32.0, 32.0, 31.0, 29.0]","{0: [1, 9, 12, 10, 8, 3, 2, 5, 7, 11, 6, 4], 1: [0, 12, 5, 10, 9, 11, 6, 2, 3, 8, 4, 7], 2: [0, 1, 3, 6, 10, 8, 11, 4, 7, 12, 5, 9], 3: [0, 4, 12, 6, 11, 5, 9, 7, 2, 10, 1, 8], 4: [0, 12, 5, 9, 7, 3, 1, 11, 10, 6, 8, 2], 5: [0, 12, 1, 6, 10, 11, 2, 9, 7, 4, 3, 8], 6: [0, 5, 1, 9, 7, 2, 12, 8, 4, 3, 11, 10], 7: [0, 4, 1, 3, 12, 11, 9, 10, 6, 2, 8, 5], 8: [0, 9, 6, 7, 4, 11, 12, 2, 3, 1, 10, 5], 9: [0, 10, 8, 4, 12, 6, 5, 3, 2, 11, 7, 1], 10: [0, 2, 4, 5, 12, 7, 8, 3, 1, 11, 6, 9], 11: [0, 1, 10, 2, 9, 3, 8, 6, 12, 4, 7, 5], 12: [0, 1, 8, 10, 3, 5, 6, 9, 4, 2, 11, 7]}"
Simulated_Annealing,13,28.0,273,0.2084689140319824,198777,"[32.0, 32.0, 31.0, 31.0, 31.0, 32.0, 31.0, 31.0, 30.0, 28.0, 28.0]","{0: [1, 10, 3, 5, 8, 2, 9, 7, 4, 11, 12, 6], 1: [0, 5, 7, 3, 6, 2, 4, 8, 10, 12, 11, 9], 2: [0, 8, 6, 10, 5, 7, 3, 12, 1, 11, 9, 4], 3: [0, 6, 7, 11, 4, 2, 5, 8, 12, 9, 10, 1], 4: [0, 3, 1, 7, 2, 10, 8, 6, 11, 5, 12, 9], 5: [0, 4, 7, 8, 3, 1, 2, 12, 11, 10, 9, 6], 6: [0, 4, 11, 2, 8, 5, 7, 3, 9, 12, 10, 1], 7: [0, 8, 1, 2, 4, 11, 12, 9, 6, 10, 5, 3], 8: [0, 1, 5, 11, 2, 10, 6, 3, 9, 4, 12, 7], 9: [0, 5, 4, 12, 7, 11, 1, 6, 2, 10, 8, 3], 10: [0, 1, 8, 7, 5, 3, 4, 11, 6, 9, 12, 2], 11: [0, 7, 12, 6, 10, 5, 2, 8, 3, 4, 1, 9], 12: [0, 7, 11, 8, 9, 4, 2, 5, 10, 3, 6, 1]}"
Simulated_Annealing,13,27.0,690,0.4507977962493896,81872,"[32.0, 32.0, 31.0, 32.0, 32.0, 31.0, 30.0, 32.0, 31.0, 28.0, 27.0]","{0: [1, 2, 5, 6, 8, 3, 9, 10, 7, 11, 4, 12], 1: [0, 11, 6, 7, 4, 8, 10, 5, 2, 12, 9, 3], 2: [0, 5, 9, 11, 12, 8, 3, 10, 6, 4, 1, 7], 3: [0, 10, 12, 4, 9, 5, 1, 2, 8, 6, 7, 11], 4: [0, 12, 5, 3, 2, 7, 8, 6, 9, 11, 1, 10], 5: [0, 9, 4, 1, 11, 8, 7, 2, 3, 6, 12, 10], 6: [0, 10, 12, 2, 11, 7, 1, 3, 5, 4, 9, 8], 7: [0, 10, 3, 9, 5, 6, 12, 4, 8, 2, 1, 11], 8: [0, 6, 7, 2, 12, 10, 1, 3, 4, 11, 5, 9], 9: [0, 7, 12, 10, 3, 2, 4, 8, 5, 6, 11, 1], 10: [0, 1, 8, 7, 12, 9, 11, 2, 4, 6, 5, 3], 11: [0, 5, 6, 10, 12, 2, 4, 1, 7, 9, 8, 3], 12: [0, 11, 9, 7, 1, 3, 10, 8, 6, 2, 4, 5]}"
Simulated_Annealing,13,27.0,463,0.4057590961456299,279505,"[32.0, 31.0, 32.0, 32.0, 31.0, 32.0, 30.0, 31.0, 32.0, 27.0, 27.0]","{0: [1, 4, 3, 6, 9, 7, 8, 12, 10, 2, 11, 5], 1: [0, 12, 8, 2, 10, 11, 3, 7, 6, 9, 4, 5], 2: [0, 12, 7, 9, 1, 4, 10, 8, 6, 5, 3, 11], 3: [0, 2, 4, 6, 8, 10, 5, 11, 7, 9, 12, 1], 4: [0, 7, 12, 2, 3, 8, 5, 6, 10, 9, 1, 11], 5: [0, 2, 4, 6, 3, 1, 7, 9, 8, 10, 11, 12], 6: [0, 3, 10, 8, 5, 12, 1, 4, 7, 11, 9, 2], 7: [0, 3, 12, 1, 4, 11, 10, 2, 6, 5, 9, 8], 8: [0, 2, 11, 4, 6, 7, 1, 5, 9, 12, 10, 3], 9: [0, 2, 12, 11, 6, 10, 8, 5, 1, 4, 7, 3], 10: [0, 2, 5, 7, 1, 11, 9, 3, 8, 12, 6, 4], 11: [0, 4, 3, 8, 6, 12, 2, 10, 9, 1, 5, 7], 12: [0, 9, 1, 5, 4, 3, 6, 8, 2, 7, 10, 11]}"
Simulated_Annealing,13,29.0,81,0.0648908615112304,412939,"[31.0, 33.0, 31.0, 32.0, 31.0, 30.0, 32.0, 31.0, 30.0, 29.0]","{0: [1, 4, 5, 6, 7, 2, 12, 9, 11, 10, 8, 3], 1: [0, 7, 10, 6, 12, 4, 5, 3, 9, 8, 11, 2], 2: [0, 11, 6, 4, 5, 7, 10, 3, 12, 1, 8, 9], 3: [0, 2, 1, 11, 7, 10, 12, 5, 8, 4, 9, 6], 4: [0, 10, 3, 6, 9, 1, 8, 12, 11, 7, 2, 5], 5: [0, 12, 9, 1, 11, 4, 3, 10, 6, 8, 7, 2], 6: [0, 10, 3, 12, 11, 1, 4, 5, 7, 2, 8, 9], 7: [0, 12, 9, 4, 6, 8, 1, 11, 2, 3, 10, 5], 8: [0, 6, 12, 2, 9, 7, 3, 4, 5, 10, 11, 1], 9: [0, 1, 12, 2, 3, 4, 8, 6, 11, 5, 10, 7], 10: [0, 6, 9, 4, 8, 1, 11, 2, 5, 3, 7, 12], 11: [0, 10, 7, 12, 2, 1, 8, 5, 9, 4, 3, 6], 12: [0, 7, 10, 2, 11, 6, 5, 3, 4, 1, 8, 9]}"
Simulated_Annealing,13,29.0,28,0.0216410160064697,310057,"[32.0, 33.0, 32.0, 31.0, 32.0, 31.0, 32.0, 32.0, 31.0, 29.0]","{0: [1, 9, 5, 3, 10, 7, 12, 8, 4, 2, 11, 6], 1: [0, 3, 6, 5, 12, 11, 7, 8, 4, 2, 10, 9], 2: [0, 6, 1, 9, 5, 12, 4, 8, 3, 10, 11, 7], 3: [0, 8, 4, 9, 7, 11, 12, 2, 5, 6, 10, 1], 4: [0, 8, 3, 9, 7, 10, 1, 12, 2, 11, 5, 6], 5: [0, 2, 7, 4, 12, 11, 6, 3, 10, 8, 1, 9], 6: [0, 1, 11, 12, 7, 4, 10, 5, 2, 9, 8, 3], 7: [0, 1, 3, 8, 2, 6, 4, 10, 11, 9, 5, 12], 8: [0, 6, 1, 4, 12, 9, 10, 2, 11, 7, 3, 5], 9: [0, 11, 10, 3, 5, 4, 8, 7, 6, 2, 1, 12], 10: [0, 8, 1, 12, 5, 6, 9, 3, 4, 2, 7, 11], 11: [0, 1, 9, 6, 12, 7, 10, 2, 8, 4, 5, 3], 12: [0, 7, 6, 2, 5, 8, 4, 11, 1, 3, 9, 10]}"
Simulated_Annealing,13,25.0,613,0.3936519622802734,29397,"[32.0, 32.0, 31.0, 31.0, 32.0, 30.0, 32.0, 31.0, 30.0, 29.0, 25.0]","{0: [1, 4, 5, 11, 9, 12, 3, 6, 2, 10, 7, 8], 1: [0, 6, 12, 4, 2, 9, 5, 10, 8, 11, 7, 3], 2: [0, 12, 4, 11, 10, 5, 8, 1, 7, 9, 3, 6], 3: [0, 4, 10, 2, 11, 9, 5, 1, 6, 8, 12, 7], 4: [0, 3, 5, 8, 9, 11, 6, 7, 1, 12, 2, 10], 5: [0, 6, 12, 8, 2, 4, 7, 10, 3, 11, 1, 9], 6: [0, 5, 2, 4, 10, 8, 12, 3, 7, 1, 11, 9], 7: [0, 11, 9, 6, 1, 2, 4, 8, 10, 3, 5, 12], 8: [0, 9, 3, 7, 11, 6, 5, 1, 4, 10, 12, 2], 9: [0, 3, 12, 10, 2, 11, 4, 5, 1, 7, 8, 6], 10: [0, 4, 7, 2, 3, 5, 1, 11, 6, 9, 8, 12], 11: [0, 5, 1, 7, 12, 3, 4, 10, 8, 2, 6, 9], 12: [0, 4, 1, 8, 10, 6, 9, 5, 3, 11, 2, 7]}"
Simulated_Annealing,13,26.0,450,0.2907121181488037,459400,"[32.0, 32.0, 31.0, 33.0, 31.0, 32.0, 31.0, 31.0, 28.0, 26.0]","{0: [1, 10, 4, 11, 2, 12, 6, 8, 9, 7, 3, 5], 1: [0, 5, 2, 12, 6, 9, 11, 4, 10, 7, 8, 3], 2: [0, 3, 4, 10, 7, 1, 9, 5, 8, 11, 6, 12], 3: [0, 6, 8, 4, 9, 2, 7, 10, 12, 5, 1, 11], 4: [0, 8, 12, 6, 7, 11, 3, 2, 9, 1, 5, 10], 5: [0, 10, 3, 12, 9, 6, 1, 2, 4, 11, 7, 8], 6: [0, 2, 4, 9, 3, 11, 5, 7, 12, 1, 10, 8], 7: [0, 8, 9, 3, 11, 12, 4, 5, 6, 1, 2, 10], 8: [0, 3, 10, 7, 9, 11, 2, 6, 5, 4, 1, 12], 9: [0, 12, 5, 7, 4, 3, 6, 10, 11, 1, 2, 8], 10: [0, 5, 4, 2, 6, 3, 1, 12, 9, 11, 7, 8], 11: [0, 1, 8, 5, 3, 9, 2, 12, 4, 6, 10, 7], 12: [0, 6, 7, 4, 3, 11, 1, 5, 10, 2, 8, 9]}"
