Iteration,Fitness,FitnessEvalTime,Time,State
1,7.0,0.00011110305786132812,0.00011229515075683594,"{0: [6, 5, 8, 7, 9], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [5, 6, 8, 9, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 1, 4, 2, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
2,7.0,0.00019216537475585938,0.00019311904907226562,"{0: [6, 5, 8, 7, 9], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [5, 6, 8, 9, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
3,7.0,0.0002701282501220703,0.0002701282501220703,"{0: [8, 7, 5, 9, 6], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [5, 6, 8, 9, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
4,8.0,0.00035309791564941406,0.00035309791564941406,"{0: [8, 7, 5, 9, 6], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [7, 5, 9, 6, 8], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
5,6.0,0.00043010711669921875,0.00043010711669921875,"{0: [6, 5, 7, 9, 8], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [7, 5, 9, 6, 8], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
6,6.0,0.00047898292541503906,0.00047898292541503906,"{0: [6, 5, 7, 9, 8], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [7, 5, 9, 6, 8], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
7,7.0,0.0005562305450439453,0.0005562305450439453,"{0: [6, 5, 7, 9, 8], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [8, 7, 9, 5, 6], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
8,7.0,0.0006310939788818359,0.0006310939788818359,"{0: [6, 5, 7, 9, 8], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
9,7.0,0.00067901611328125,0.00067901611328125,"{0: [6, 5, 7, 9, 8], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 3, 0, 2]}"
10,7.0,0.0007541179656982422,0.0007550716400146484,"{0: [6, 5, 7, 9, 8], 1: [5, 6, 8, 7, 9], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [1, 4, 2, 0, 3]}"
