Algorithm,Number of Nodes,Is Complete,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,11,True,6,65,2.7322301864624023,942480,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [13, 14, 19, 11], 1: [15, 14, 12, 20], 2: [13, 21, 16, 15], 3: [16, 17, 14, 11], 4: [18, 15, 17, 12], 5: [19, 13, 18, 16], 6: [14, 17, 20, 19], 7: [21, 20, 15, 18], 8: [19, 11, 16, 21], 9: [11, 17, 20, 12], 10: [21, 18, 12, 13], 11: [3, 8, 9, 0], 12: [10, 9, 1, 4], 13: [2, 0, 5, 10], 14: [1, 3, 6, 0], 15: [4, 7, 2, 1], 16: [8, 3, 5, 2], 17: [9, 4, 6, 3], 18: [7, 4, 5, 10], 19: [5, 0, 6, 8], 20: [9, 7, 6, 1], 21: [10, 8, 2, 7]}"
Genetic,11,True,6,179,7.170727014541626,602074,"[8, 8, 8, 7, 7, 7, 7, 7, 6, 6, 6]","{0: [13, 14, 11, 19], 1: [14, 12, 15, 20], 2: [16, 21, 15, 13], 3: [16, 11, 14, 17], 4: [15, 12, 18, 17], 5: [13, 19, 18, 16], 6: [20, 14, 17, 19], 7: [21, 20, 18, 15], 8: [16, 19, 11, 21], 9: [17, 12, 20, 11], 10: [21, 12, 13, 18], 11: [8, 0, 3, 9], 12: [4, 1, 10, 9], 13: [0, 5, 2, 10], 14: [0, 1, 6, 3], 15: [1, 7, 2, 4], 16: [5, 3, 8, 2], 17: [6, 9, 3, 4], 18: [7, 5, 4, 10], 19: [8, 6, 5, 0], 20: [1, 6, 7, 9], 21: [10, 2, 8, 7]}"
Genetic,11,True,7,119,4.857809066772461,86623,"[8, 8, 8, 8, 8, 8, 8, 7, 7, 7, 7]","{0: [13, 11, 14, 19], 1: [15, 12, 14, 20], 2: [13, 15, 16, 21], 3: [14, 17, 11, 16], 4: [17, 12, 15, 18], 5: [13, 18, 19, 16], 6: [19, 17, 20, 14], 7: [21, 20, 18, 15], 8: [16, 11, 19, 21], 9: [12, 11, 17, 20], 10: [12, 13, 21, 18], 11: [8, 0, 3, 9], 12: [4, 9, 10, 1], 13: [10, 2, 0, 5], 14: [1, 0, 3, 6], 15: [4, 1, 2, 7], 16: [5, 3, 8, 2], 17: [3, 6, 4, 9], 18: [4, 7, 5, 10], 19: [6, 0, 5, 8], 20: [9, 7, 1, 6], 21: [10, 7, 2, 8]}"
Genetic,11,True,7,4,0.2579660415649414,938943,"[8, 7, 7, 7, 7, 7, 7, 7, 7, 7]","{0: [19, 13, 14, 11], 1: [12, 15, 14, 20], 2: [13, 21, 16, 15], 3: [14, 16, 11, 17], 4: [12, 17, 18, 15], 5: [16, 18, 13, 19], 6: [14, 17, 19, 20], 7: [18, 15, 21, 20], 8: [19, 16, 11, 21], 9: [20, 11, 17, 12], 10: [12, 13, 21, 18], 11: [0, 9, 8, 3], 12: [1, 9, 4, 10], 13: [0, 5, 2, 10], 14: [0, 3, 6, 1], 15: [1, 2, 4, 7], 16: [2, 5, 8, 3], 17: [6, 4, 9, 3], 18: [4, 7, 10, 5], 19: [0, 5, 6, 8], 20: [7, 9, 1, 6], 21: [2, 10, 8, 7]}"
Genetic,11,True,6,369,14.713193893432615,774284,"[8, 8, 8, 8, 7, 7, 7, 7, 7, 6, 6]","{0: [14, 13, 11, 19], 1: [14, 20, 15, 12], 2: [13, 21, 15, 16], 3: [16, 11, 14, 17], 4: [12, 15, 17, 18], 5: [18, 13, 16, 19], 6: [19, 17, 14, 20], 7: [18, 20, 15, 21], 8: [19, 11, 16, 21], 9: [11, 12, 17, 20], 10: [18, 21, 13, 12], 11: [3, 8, 9, 0], 12: [1, 4, 10, 9], 13: [10, 5, 0, 2], 14: [0, 1, 6, 3], 15: [7, 4, 1, 2], 16: [5, 8, 3, 2], 17: [9, 3, 6, 4], 18: [4, 5, 7, 10], 19: [6, 0, 5, 8], 20: [1, 7, 9, 6], 21: [8, 10, 7, 2]}"
Genetic,11,True,7,2,0.1323499679565429,689311,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","{0: [11, 14, 19, 13], 1: [12, 20, 14, 15], 2: [16, 21, 13, 15], 3: [14, 16, 11, 17], 4: [15, 17, 18, 12], 5: [18, 19, 16, 13], 6: [17, 14, 19, 20], 7: [18, 21, 15, 20], 8: [19, 16, 11, 21], 9: [20, 12, 17, 11], 10: [21, 18, 12, 13], 11: [0, 9, 3, 8], 12: [1, 9, 10, 4], 13: [0, 10, 2, 5], 14: [0, 3, 6, 1], 15: [1, 4, 2, 7], 16: [2, 3, 8, 5], 17: [6, 3, 9, 4], 18: [4, 5, 10, 7], 19: [5, 0, 6, 8], 20: [1, 7, 9, 6], 21: [2, 7, 10, 8]}"
Genetic,11,True,7,13,0.5711569786071777,85976,"[8, 8, 8, 8, 7, 7, 7, 7, 7, 7]","{0: [11, 14, 13, 19], 1: [14, 12, 20, 15], 2: [13, 21, 16, 15], 3: [11, 14, 17, 16], 4: [17, 18, 12, 15], 5: [13, 19, 18, 16], 6: [20, 17, 14, 19], 7: [18, 15, 21, 20], 8: [19, 11, 16, 21], 9: [12, 11, 17, 20], 10: [12, 18, 13, 21], 11: [0, 3, 8, 9], 12: [10, 9, 1, 4], 13: [0, 5, 2, 10], 14: [3, 6, 0, 1], 15: [4, 7, 2, 1], 16: [2, 8, 3, 5], 17: [3, 4, 9, 6], 18: [4, 7, 5, 10], 19: [5, 8, 6, 0], 20: [1, 6, 7, 9], 21: [2, 7, 10, 8]}"
Genetic,11,True,6,312,13.260058879852297,352957,"[8, 8, 8, 8, 7, 7, 7, 7, 7, 6, 6]","{0: [11, 13, 19, 14], 1: [15, 12, 14, 20], 2: [15, 21, 16, 13], 3: [17, 16, 11, 14], 4: [18, 15, 17, 12], 5: [13, 18, 16, 19], 6: [19, 20, 17, 14], 7: [15, 20, 18, 21], 8: [11, 19, 16, 21], 9: [17, 11, 12, 20], 10: [21, 18, 12, 13], 11: [9, 0, 3, 8], 12: [1, 4, 9, 10], 13: [10, 2, 5, 0], 14: [3, 0, 6, 1], 15: [4, 2, 1, 7], 16: [8, 5, 3, 2], 17: [6, 4, 3, 9], 18: [10, 7, 5, 4], 19: [0, 5, 8, 6], 20: [7, 1, 9, 6], 21: [2, 7, 10, 8]}"
Genetic,11,True,6,391,16.311965942382812,605283,"[8, 8, 8, 8, 7, 7, 7, 7, 7, 6, 6]","{0: [19, 14, 11, 13], 1: [20, 12, 15, 14], 2: [15, 21, 16, 13], 3: [16, 17, 14, 11], 4: [12, 18, 15, 17], 5: [19, 16, 18, 13], 6: [17, 20, 19, 14], 7: [20, 15, 21, 18], 8: [16, 21, 11, 19], 9: [11, 20, 12, 17], 10: [12, 21, 13, 18], 11: [9, 0, 8, 3], 12: [10, 4, 9, 1], 13: [5, 10, 2, 0], 14: [1, 3, 6, 0], 15: [7, 1, 4, 2], 16: [3, 5, 2, 8], 17: [4, 6, 3, 9], 18: [10, 5, 7, 4], 19: [0, 8, 6, 5], 20: [1, 6, 9, 7], 21: [8, 2, 7, 10]}"
Genetic,11,True,7,1,0.1008999347686767,426043,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","{0: [11, 13, 19, 14], 1: [12, 20, 14, 15], 2: [13, 16, 21, 15], 3: [14, 11, 16, 17], 4: [15, 17, 12, 18], 5: [16, 19, 13, 18], 6: [17, 20, 19, 14], 7: [18, 20, 15, 21], 8: [19, 16, 11, 21], 9: [20, 12, 17, 11], 10: [21, 12, 18, 13], 11: [0, 9, 3, 8], 12: [1, 10, 4, 9], 13: [0, 2, 5, 10], 14: [0, 1, 3, 6], 15: [1, 7, 4, 2], 16: [2, 8, 3, 5], 17: [3, 9, 4, 6], 18: [4, 5, 10, 7], 19: [0, 6, 5, 8], 20: [1, 9, 6, 7], 21: [2, 10, 7, 8]}"
