Algorithm,Bracket,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,"[1, 1, 2, 2]",3,8,0.1763668060302734,718324,"[4, 4, 4, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 11, 7], 1: [7, 6, 8, 10], 2: [8, 9, 7, 11], 3: [10, 6, 9, 8], 4: [11, 9, 7, 10], 5: [11, 6, 8, 10], 6: [0, 3, 5, 1], 7: [0, 2, 1, 4], 8: [2, 1, 5, 3], 9: [0, 2, 3, 4], 10: [4, 1, 5, 3], 11: [0, 4, 5, 2]}"
Genetic,"[1, 1, 2, 2]",2,224,4.033992052078247,273066,"[3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2]","{0: [11, 7, 9, 6], 1: [7, 8, 6, 10], 2: [9, 7, 8, 11], 3: [8, 10, 9, 6], 4: [11, 9, 10, 7], 5: [6, 11, 8, 10], 6: [1, 3, 0, 5], 7: [2, 0, 4, 1], 8: [2, 3, 1, 5], 9: [0, 2, 3, 4], 10: [1, 5, 4, 3], 11: [0, 2, 5, 4]}"
Genetic,"[1, 1, 2, 2]",2,116,2.088397979736328,25766,"[4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2]","{0: [7, 9, 6, 11], 1: [7, 10, 6, 8], 2: [8, 9, 7, 11], 3: [9, 8, 6, 10], 4: [7, 9, 10, 11], 5: [8, 11, 10, 6], 6: [5, 0, 1, 3], 7: [1, 0, 2, 4], 8: [5, 3, 1, 2], 9: [0, 3, 4, 2], 10: [3, 1, 5, 4], 11: [0, 4, 5, 2]}"
Genetic,"[1, 1, 2, 2]",3,6,0.1349282264709472,452523,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 7, 11], 1: [7, 8, 6, 10], 2: [9, 11, 7, 8], 3: [6, 9, 8, 10], 4: [10, 11, 9, 7], 5: [11, 6, 10, 8], 6: [0, 3, 5, 1], 7: [0, 1, 4, 2], 8: [1, 5, 3, 2], 9: [0, 4, 2, 3], 10: [1, 5, 3, 4], 11: [0, 2, 4, 5]}"
Genetic,"[1, 1, 2, 2]",3,16,0.3129668235778808,66201,"[4, 4, 4, 4, 3, 3, 3, 3, 3, 3]","{0: [7, 9, 6, 11], 1: [8, 10, 7, 6], 2: [8, 9, 7, 11], 3: [8, 6, 10, 9], 4: [10, 9, 11, 7], 5: [10, 8, 11, 6], 6: [0, 5, 3, 1], 7: [0, 2, 1, 4], 8: [2, 5, 1, 3], 9: [3, 4, 0, 2], 10: [5, 4, 3, 1], 11: [0, 4, 5, 2]}"
Genetic,"[1, 1, 2, 2]",3,21,0.4051315784454345,784073,"[4, 4, 4, 4, 4, 3, 3, 3, 3, 3]","{0: [7, 9, 11, 6], 1: [7, 8, 6, 10], 2: [7, 8, 11, 9], 3: [9, 10, 6, 8], 4: [10, 9, 11, 7], 5: [11, 10, 6, 8], 6: [0, 3, 1, 5], 7: [1, 0, 4, 2], 8: [1, 3, 2, 5], 9: [3, 2, 0, 4], 10: [3, 4, 5, 1], 11: [2, 5, 4, 0]}"
Genetic,"[1, 1, 2, 2]",3,6,0.1328799724578857,13296,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 7, 11], 1: [8, 7, 6, 10], 2: [8, 7, 9, 11], 3: [9, 6, 8, 10], 4: [10, 11, 7, 9], 5: [6, 8, 10, 11], 6: [0, 5, 1, 3], 7: [0, 2, 4, 1], 8: [1, 5, 2, 3], 9: [4, 2, 0, 3], 10: [1, 4, 3, 5], 11: [0, 4, 5, 2]}"
Genetic,"[1, 1, 2, 2]",3,2,0.0651981830596923,185251,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 7, 11, 9], 1: [7, 6, 10, 8], 2: [9, 8, 11, 7], 3: [9, 10, 6, 8], 4: [10, 9, 11, 7], 5: [11, 8, 10, 6], 6: [0, 3, 5, 1], 7: [0, 1, 2, 4], 8: [1, 5, 2, 3], 9: [0, 4, 3, 2], 10: [1, 4, 3, 5], 11: [0, 5, 2, 4]}"
Genetic,"[1, 1, 2, 2]",3,10,0.2061419486999511,846693,"[4, 4, 4, 3, 3, 3, 3, 3, 3, 3]","{0: [7, 11, 6, 9], 1: [7, 6, 10, 8], 2: [8, 9, 7, 11], 3: [9, 8, 10, 6], 4: [7, 9, 10, 11], 5: [11, 8, 10, 6], 6: [0, 1, 3, 5], 7: [0, 1, 2, 4], 8: [3, 2, 5, 1], 9: [0, 4, 2, 3], 10: [1, 4, 5, 3], 11: [0, 5, 2, 4]}"
Genetic,"[1, 1, 2, 2]",2,698,13.126904010772703,469447,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]","{0: [11, 6, 7, 9], 1: [8, 7, 10, 6], 2: [8, 11, 9, 7], 3: [8, 6, 9, 10], 4: [9, 11, 10, 7], 5: [8, 6, 10, 11], 6: [1, 5, 0, 3], 7: [4, 0, 1, 2], 8: [1, 3, 5, 2], 9: [4, 2, 0, 3], 10: [3, 4, 5, 1], 11: [4, 0, 2, 5]}"
