Algorithm,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,11,18,3,0.2155430316925048,310150,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 8, 6, 9, 5, 3, 7, 10, 2, 4], 1: [0, 5, 4, 10, 8, 2, 7, 6, 3, 9], 2: [0, 4, 8, 9, 7, 3, 5, 6, 10, 1], 3: [0, 2, 9, 7, 1, 10, 4, 8, 6, 5], 4: [0, 8, 3, 9, 10, 5, 1, 7, 6, 2], 5: [0, 10, 6, 3, 7, 2, 1, 9, 4, 8], 6: [0, 4, 1, 9, 7, 5, 10, 8, 3, 2], 7: [0, 8, 6, 4, 2, 3, 10, 9, 5, 1], 8: [0, 5, 7, 4, 1, 10, 2, 3, 6, 9], 9: [0, 7, 10, 1, 5, 8, 3, 2, 6, 4], 10: [0, 2, 8, 1, 5, 3, 4, 7, 6, 9]}"
Genetic,11,17,66,2.633558988571167,376021,"[18, 18, 18, 18, 18, 18, 17, 17, 17, 17, 17]","{0: [1, 10, 6, 2, 7, 4, 9, 5, 3, 8], 1: [0, 5, 7, 8, 2, 3, 6, 10, 9, 4], 2: [0, 6, 5, 1, 9, 3, 10, 7, 4, 8], 3: [0, 5, 6, 4, 7, 9, 8, 2, 10, 1], 4: [3, 1, 10, 2, 5, 8, 7, 0, 9, 6], 5: [0, 9, 2, 8, 7, 6, 4, 1, 10, 3], 6: [8, 0, 1, 2, 7, 9, 5, 4, 3, 10], 7: [0, 3, 5, 8, 4, 1, 10, 9, 6, 2], 8: [2, 10, 0, 7, 5, 3, 6, 9, 1, 4], 9: [5, 7, 10, 1, 0, 3, 6, 4, 2, 8], 10: [0, 6, 5, 7, 8, 4, 1, 9, 2, 3]}"
Genetic,11,17,350,13.744211196899414,692692,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17]","{0: [4, 6, 5, 2, 8, 10, 7, 9, 1, 3], 1: [9, 6, 3, 8, 4, 2, 0, 10, 7, 5], 2: [10, 4, 9, 1, 3, 7, 5, 8, 0, 6], 3: [9, 7, 5, 4, 10, 1, 6, 8, 2, 0], 4: [8, 1, 0, 7, 3, 10, 6, 5, 2, 9], 5: [9, 4, 6, 0, 7, 8, 2, 10, 3, 1], 6: [4, 1, 9, 7, 0, 5, 8, 10, 2, 3], 7: [1, 2, 0, 6, 9, 10, 5, 4, 3, 8], 8: [10, 3, 4, 7, 6, 5, 9, 0, 1, 2], 9: [0, 8, 5, 3, 10, 1, 2, 4, 7, 6], 10: [7, 2, 0, 9, 3, 6, 8, 4, 5, 1]}"
Genetic,11,17,59,2.3436119556427,638293,"[18, 18, 18, 18, 18, 18, 17, 17, 17, 17, 17]","{0: [8, 4, 9, 5, 2, 3, 6, 10, 7, 1], 1: [0, 7, 10, 2, 5, 6, 8, 9, 3, 4], 2: [9, 8, 4, 10, 6, 1, 7, 0, 3, 5], 3: [0, 4, 1, 9, 6, 7, 2, 10, 5, 8], 4: [0, 2, 3, 10, 9, 5, 1, 8, 7, 6], 5: [0, 10, 4, 6, 7, 2, 3, 9, 8, 1], 6: [0, 7, 5, 4, 9, 10, 1, 8, 3, 2], 7: [8, 1, 0, 3, 9, 10, 5, 6, 2, 4], 8: [6, 5, 0, 7, 3, 10, 2, 9, 4, 1], 9: [3, 10, 8, 5, 6, 7, 1, 0, 4, 2], 10: [9, 8, 6, 3, 7, 4, 0, 1, 2, 5]}"
Genetic,11,18,2,0.1255860328674316,711957,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 7, 6, 9, 4, 3, 2, 8, 10, 5], 1: [0, 4, 10, 6, 8, 9, 7, 5, 2, 3], 2: [0, 5, 7, 8, 10, 9, 4, 3, 1, 6], 3: [0, 5, 9, 8, 6, 10, 7, 1, 4, 2], 4: [0, 8, 5, 10, 1, 2, 6, 3, 9, 7], 5: [0, 6, 1, 8, 10, 9, 4, 7, 3, 2], 6: [0, 9, 1, 2, 3, 10, 8, 7, 5, 4], 7: [0, 6, 2, 10, 1, 4, 5, 8, 9, 3], 8: [0, 2, 1, 3, 10, 7, 4, 5, 9, 6], 9: [0, 2, 3, 4, 10, 5, 6, 7, 8, 1], 10: [0, 8, 4, 5, 6, 9, 3, 2, 1, 7]}"
Genetic,11,17,106,4.232810974121094,522032,"[18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17]","{0: [1, 4, 9, 5, 3, 10, 7, 6, 2, 8], 1: [9, 8, 7, 5, 3, 10, 2, 0, 6, 4], 2: [8, 0, 9, 5, 7, 1, 10, 3, 6, 4], 3: [7, 8, 5, 0, 10, 4, 6, 1, 9, 2], 4: [0, 9, 8, 10, 1, 7, 5, 2, 6, 3], 5: [4, 0, 8, 6, 9, 3, 10, 7, 2, 1], 6: [0, 2, 5, 3, 4, 1, 7, 9, 8, 10], 7: [2, 4, 0, 6, 1, 3, 8, 10, 5, 9], 8: [0, 2, 6, 7, 4, 10, 5, 1, 3, 9], 9: [0, 7, 3, 8, 2, 10, 5, 6, 4, 1], 10: [6, 3, 1, 8, 5, 4, 2, 7, 0, 9]}"
Genetic,11,17,118,4.714570045471191,777849,"[18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17]","{0: [9, 4, 2, 1, 8, 6, 3, 5, 7, 10], 1: [0, 5, 2, 4, 10, 9, 7, 3, 6, 8], 2: [3, 0, 8, 7, 4, 1, 10, 5, 6, 9], 3: [4, 5, 1, 0, 7, 10, 2, 9, 8, 6], 4: [2, 1, 3, 7, 6, 10, 5, 0, 8, 9], 5: [10, 9, 0, 7, 4, 1, 6, 3, 2, 8], 6: [0, 9, 2, 7, 8, 10, 5, 3, 1, 4], 7: [10, 0, 2, 4, 5, 6, 9, 3, 1, 8], 8: [10, 7, 1, 2, 6, 3, 9, 4, 0, 5], 9: [6, 10, 0, 7, 3, 4, 8, 1, 5, 2], 10: [0, 7, 9, 5, 8, 2, 1, 4, 6, 3]}"
Genetic,11,18,1,0.0870590209960937,288091,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 5, 6, 8, 7, 10, 2, 9, 3, 4], 1: [0, 4, 5, 3, 10, 2, 9, 6, 7, 8], 2: [0, 1, 3, 4, 6, 7, 5, 9, 10, 8], 3: [0, 7, 9, 4, 10, 2, 6, 8, 5, 1], 4: [0, 5, 1, 9, 2, 7, 8, 3, 10, 6], 5: [0, 6, 3, 8, 1, 4, 10, 2, 9, 7], 6: [0, 3, 7, 2, 1, 9, 10, 8, 5, 4], 7: [0, 10, 1, 8, 2, 3, 6, 9, 5, 4], 8: [0, 7, 3, 2, 1, 6, 10, 4, 5, 9], 9: [0, 4, 5, 7, 6, 10, 8, 2, 3, 1], 10: [0, 6, 1, 7, 5, 2, 3, 8, 4, 9]}"
Genetic,11,18,3,0.163597822189331,910759,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 6, 7, 5, 3, 4, 9, 10, 2, 8], 1: [0, 9, 3, 10, 7, 6, 4, 8, 5, 2], 2: [0, 10, 6, 7, 3, 8, 5, 9, 4, 1], 3: [0, 6, 9, 10, 1, 5, 8, 4, 2, 7], 4: [0, 6, 9, 10, 1, 7, 8, 3, 2, 5], 5: [0, 3, 10, 2, 8, 9, 1, 7, 4, 6], 6: [0, 8, 9, 10, 3, 5, 4, 7, 2, 1], 7: [0, 3, 1, 5, 10, 8, 9, 6, 2, 4], 8: [0, 10, 2, 4, 5, 9, 3, 1, 7, 6], 9: [0, 6, 4, 7, 8, 5, 10, 2, 1, 3], 10: [0, 6, 1, 8, 3, 4, 9, 5, 7, 2]}"
Genetic,11,18,16,0.6779558658599854,118182,"[19, 19, 19, 19, 18, 18, 18, 18, 18, 18]","{0: [9, 4, 10, 7, 8, 5, 6, 3, 2, 1], 1: [0, 8, 9, 2, 4, 10, 5, 6, 7, 3], 2: [0, 5, 1, 3, 4, 8, 7, 10, 6, 9], 3: [0, 10, 7, 1, 9, 8, 5, 4, 2, 6], 4: [0, 6, 3, 1, 5, 10, 2, 8, 9, 7], 5: [6, 0, 2, 9, 1, 8, 10, 3, 4, 7], 6: [0, 8, 10, 4, 9, 3, 5, 7, 1, 2], 7: [0, 4, 1, 5, 8, 9, 2, 10, 3, 6], 8: [0, 9, 4, 5, 6, 10, 1, 3, 7, 2], 9: [0, 7, 2, 5, 6, 3, 4, 8, 10, 1], 10: [0, 9, 5, 6, 3, 4, 8, 7, 1, 2]}"
