Algorithm,Number of Nodes,Is Complete,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,6,True,1,1,0.0406389236450195,607782,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1]","{0: [1, 3, 4, 5, 2], 1: [0, 4, 2, 5, 3], 2: [0, 1, 3, 5, 4], 3: [0, 1, 5, 2, 4], 4: [0, 3, 1, 2, 5], 5: [0, 4, 2, 3, 1]}"
Genetic,6,True,2,1,0.0416648387908935,337103,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{0: [1, 2, 4, 5, 3], 1: [0, 2, 5, 4, 3], 2: [0, 1, 3, 4, 5], 3: [0, 1, 4, 5, 2], 4: [0, 3, 1, 2, 5], 5: [0, 4, 3, 2, 1]}"
Genetic,6,True,1,3,0.0732858180999755,244961,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1]","{0: [1, 4, 2, 5, 3], 1: [0, 3, 2, 5, 4], 2: [0, 4, 1, 3, 5], 3: [0, 5, 4, 2, 1], 4: [0, 1, 3, 5, 2], 5: [0, 2, 1, 4, 3]}"
Genetic,6,True,2,1,0.0392460823059082,281623,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{0: [1, 3, 4, 5, 2], 1: [0, 2, 3, 4, 5], 2: [0, 4, 3, 5, 1], 3: [0, 2, 1, 5, 4], 4: [0, 1, 2, 3, 5], 5: [0, 4, 3, 2, 1]}"
Genetic,6,True,1,4,0.0907161235809326,78405,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1]","{0: [1, 4, 3, 2, 5], 1: [0, 3, 2, 5, 4], 2: [0, 1, 3, 4, 5], 3: [0, 4, 2, 1, 5], 4: [0, 1, 5, 2, 3], 5: [0, 2, 4, 1, 3]}"
Genetic,6,True,2,2,0.0617821216583251,265827,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{0: [1, 3, 4, 2, 5], 1: [0, 5, 4, 3, 2], 2: [0, 4, 3, 1, 5], 3: [0, 2, 5, 1, 4], 4: [0, 3, 2, 1, 5], 5: [0, 2, 3, 4, 1]}"
Genetic,6,True,2,1,0.0419027805328369,243244,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{0: [1, 3, 4, 2, 5], 1: [0, 5, 2, 4, 3], 2: [0, 4, 3, 5, 1], 3: [0, 1, 5, 2, 4], 4: [0, 1, 5, 3, 2], 5: [0, 1, 4, 2, 3]}"
Genetic,6,True,2,2,0.058398962020874,518038,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{0: [1, 5, 2, 4, 3], 1: [0, 2, 4, 5, 3], 2: [0, 5, 4, 3, 1], 3: [0, 2, 4, 5, 1], 4: [0, 3, 2, 5, 1], 5: [0, 3, 1, 4, 2]}"
Genetic,6,True,1,20,0.3982110023498535,183680,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1]","{0: [1, 4, 3, 5, 2], 1: [0, 3, 2, 5, 4], 2: [0, 5, 1, 3, 4], 3: [0, 2, 1, 4, 5], 4: [0, 1, 5, 3, 2], 5: [0, 3, 4, 1, 2]}"
Genetic,6,True,2,1,0.042273998260498,622873,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{0: [1, 4, 5, 2, 3], 1: [0, 3, 5, 2, 4], 2: [0, 1, 4, 5, 3], 3: [0, 2, 4, 5, 1], 4: [0, 1, 2, 5, 3], 5: [0, 2, 4, 1, 3]}"
