Algorithm,Number of Nodes,Is Complete,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,7,True,1,1,0.0076880455017089,825835,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 4, 6, 5], 1: [3, 6, 5, 4], 2: [3, 5, 6, 4], 3: [0, 2, 1], 4: [0, 1, 2], 5: [0, 1, 2], 6: [0, 2, 1]}"
Genetic,7,True,1,1,0.0068812370300292,167984,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 4, 5, 6], 1: [3, 6, 5, 4], 2: [3, 6, 5, 4], 3: [0, 1, 2], 4: [0, 2, 1], 5: [0, 1, 2], 6: [0, 2, 1]}"
Genetic,7,True,1,1,0.0066661834716796,695230,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [4, 6, 5, 3], 1: [3, 5, 4, 6], 2: [3, 6, 4, 5], 3: [1, 2, 0], 4: [0, 1, 2], 5: [0, 2, 1], 6: [0, 2, 1]}"
Genetic,7,True,1,1,0.0072939395904541,193738,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 5, 6, 4], 1: [3, 4, 6, 5], 2: [3, 5, 6, 4], 3: [0, 2, 1], 4: [0, 1, 2], 5: [0, 1, 2], 6: [0, 2, 1]}"
Genetic,7,True,1,1,0.0069136619567871,838379,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [5, 3, 4, 6], 1: [3, 6, 4, 5], 2: [3, 5, 4, 6], 3: [0, 2, 1], 4: [2, 1, 0], 5: [0, 1, 2], 6: [2, 0, 1]}"
Genetic,7,True,1,1,0.0061509609222412,351728,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 4, 6, 5], 1: [3, 5, 6, 4], 2: [3, 4, 6, 5], 3: [0, 1, 2], 4: [0, 2, 1], 5: [0, 2, 1], 6: [0, 1, 2]}"
Genetic,7,True,1,1,0.0761909484863281,650934,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 4, 6, 5], 1: [3, 4, 6, 5], 2: [3, 5, 6, 4], 3: [0, 1, 2], 4: [0, 2, 1], 5: [0, 2, 1], 6: [0, 1, 2]}"
Genetic,7,True,1,1,0.0061361789703369,192489,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 6, 5, 4], 1: [3, 5, 4, 6], 2: [3, 4, 6, 5], 3: [0, 2, 1], 4: [0, 2, 1], 5: [0, 1, 2], 6: [0, 2, 1]}"
Genetic,7,True,1,1,0.00602388381958,689875,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 6, 5, 4], 1: [3, 5, 6, 4], 2: [3, 4, 6, 5], 3: [0, 2, 1], 4: [0, 1, 2], 5: [0, 1, 2], 6: [0, 2, 1]}"
Genetic,7,True,1,1,0.0064210891723632,386405,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 6, 5, 4], 1: [3, 6, 4, 5], 2: [3, 5, 4, 6], 3: [0, 1, 2], 4: [0, 1, 2], 5: [2, 1, 0], 6: [0, 2, 1]}"
Genetic,7,True,1,1,0.0067901611328125,857713,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{0: [3, 5, 4, 6], 1: [3, 6, 4, 5], 2: [3, 5, 4, 6], 3: [0, 2, 1], 4: [0, 2, 1], 5: [0, 1, 2], 6: [0, 1, 2]}"
