Iteration,Fitness,FitnessEvalTime,Time,State
1,23,0.050801753997802734,0.11967992782592773,"{0: [1, 8, 3, 2, 6, 11, 4, 7, 10, 5, 9], 1: [0, 6, 7, 2, 10, 3, 11, 8, 9, 5, 4], 2: [0, 11, 6, 5, 1, 3, 4, 8, 7, 10, 9], 3: [0, 4, 5, 11, 7, 9, 6, 8, 10, 1, 2], 4: [0, 6, 11, 9, 2, 10, 8, 3, 1, 5, 7], 5: [0, 4, 3, 8, 7, 11, 10, 6, 1, 2, 9], 6: [0, 4, 7, 11, 1, 10, 2, 3, 8, 9, 5], 7: [0, 6, 5, 9, 1, 11, 3, 10, 8, 2, 4], 8: [0, 3, 4, 9, 1, 5, 7, 11, 2, 6, 10], 9: [0, 5, 1, 8, 7, 10, 11, 4, 6, 2, 3], 10: [0, 7, 3, 8, 11, 9, 1, 4, 2, 6, 5], 11: [0, 8, 5, 4, 9, 10, 6, 7, 2, 1, 3]}"
2,23,0.05117201805114746,0.17294812202453613,"{0: [1, 3, 6, 4, 10, 2, 7, 11, 8, 9, 5], 1: [0, 7, 9, 10, 11, 8, 6, 5, 4, 3, 2], 2: [0, 11, 8, 7, 5, 3, 1, 10, 4, 6, 9], 3: [0, 9, 10, 4, 6, 11, 2, 5, 8, 1, 7], 4: [0, 3, 8, 1, 10, 5, 9, 2, 6, 11, 7], 5: [0, 9, 6, 4, 3, 2, 8, 1, 10, 11, 7], 6: [0, 10, 11, 2, 4, 8, 1, 7, 9, 5, 3], 7: [0, 1, 10, 6, 3, 9, 8, 11, 4, 2, 5], 8: [0, 2, 9, 3, 4, 1, 5, 10, 7, 6, 11], 9: [0, 1, 8, 11, 4, 10, 2, 6, 7, 5, 3], 10: [0, 2, 4, 5, 7, 9, 1, 8, 6, 3, 11], 11: [0, 10, 9, 4, 3, 2, 5, 8, 1, 7, 6]}"
3,23,0.051398277282714844,0.2264842987060547,"{0: [1, 8, 3, 2, 6, 11, 4, 7, 10, 5, 9], 1: [0, 8, 6, 3, 9, 7, 2, 5, 4, 11, 10], 2: [0, 11, 6, 5, 1, 3, 4, 8, 7, 10, 9], 3: [0, 10, 7, 1, 2, 8, 4, 9, 5, 6, 11], 4: [0, 6, 11, 9, 2, 10, 8, 3, 1, 5, 7], 5: [0, 4, 7, 2, 8, 9, 1, 10, 11, 6, 3], 6: [0, 4, 7, 11, 1, 10, 2, 3, 8, 9, 5], 7: [0, 8, 9, 3, 11, 5, 1, 6, 4, 10, 2], 8: [0, 3, 4, 9, 1, 5, 7, 11, 2, 6, 10], 9: [0, 6, 2, 8, 4, 1, 7, 3, 10, 11, 5], 10: [0, 7, 3, 8, 11, 9, 1, 4, 2, 6, 5], 11: [0, 5, 10, 8, 1, 3, 9, 6, 7, 4, 2]}"
4,23,0.05210590362548828,0.28060412406921387,"{0: [1, 4, 3, 7, 8, 2, 5, 10, 6, 9, 11], 1: [0, 8, 11, 2, 7, 5, 10, 4, 3, 9, 6], 2: [0, 5, 7, 1, 6, 9, 3, 4, 8, 11, 10], 3: [0, 9, 1, 11, 10, 7, 5, 8, 4, 2, 6], 4: [0, 8, 9, 1, 6, 3, 7, 10, 11, 2, 5], 5: [9, 4, 0, 6, 11, 3, 8, 7, 2, 10, 1], 6: [0, 2, 4, 11, 3, 7, 10, 8, 9, 1, 5], 7: [0, 4, 9, 3, 1, 10, 8, 6, 2, 5, 11], 8: [0, 4, 3, 11, 7, 6, 2, 9, 5, 1, 10], 9: [0, 3, 11, 4, 7, 1, 6, 8, 10, 2, 5], 10: [0, 3, 11, 6, 9, 2, 1, 5, 4, 8, 7], 11: [0, 2, 10, 3, 7, 4, 6, 1, 9, 8, 5]}"
5,23,0.05306816101074219,0.33595728874206543,"{0: [1, 4, 7, 5, 2, 3, 11, 9, 10, 8, 6], 1: [0, 3, 2, 4, 7, 5, 10, 8, 9, 6, 11], 2: [0, 7, 11, 3, 9, 5, 1, 6, 8, 10, 4], 3: [0, 2, 1, 8, 10, 6, 4, 9, 11, 7, 5], 4: [0, 8, 7, 2, 3, 9, 5, 6, 10, 11, 1], 5: [0, 1, 2, 11, 9, 10, 8, 6, 3, 7, 4], 6: [0, 1, 5, 11, 4, 9, 3, 10, 8, 7, 2], 7: [5, 11, 4, 0, 1, 8, 2, 9, 6, 10, 3], 8: [0, 2, 9, 7, 3, 1, 5, 11, 10, 4, 6], 9: [0, 2, 1, 3, 8, 7, 4, 6, 5, 11, 10], 10: [0, 4, 8, 11, 7, 9, 1, 3, 5, 2, 6], 11: [0, 2, 6, 9, 8, 1, 10, 4, 3, 7, 5]}"
6,23,0.05205798149108887,0.39023303985595703,"{0: [6, 7, 10, 2, 8, 5, 11, 4, 3, 1, 9], 1: [0, 8, 6, 3, 9, 7, 2, 5, 4, 11, 10], 2: [0, 6, 8, 9, 10, 5, 7, 4, 1, 3, 11], 3: [0, 10, 7, 1, 2, 8, 4, 9, 5, 6, 11], 4: [0, 6, 5, 3, 10, 2, 8, 1, 11, 9, 7], 5: [0, 4, 7, 2, 8, 9, 1, 10, 11, 6, 3], 6: [0, 4, 1, 2, 5, 3, 9, 7, 10, 8, 11], 7: [0, 8, 9, 3, 11, 5, 1, 6, 4, 10, 2], 8: [0, 2, 1, 4, 11, 5, 3, 6, 10, 7, 9], 9: [0, 6, 2, 8, 4, 1, 7, 3, 10, 11, 5], 10: [1, 4, 2, 11, 7, 0, 6, 5, 3, 9, 8], 11: [0, 5, 10, 8, 1, 3, 9, 6, 7, 4, 2]}"
7,23,0.13025212287902832,0.5228042602539062,"{0: [1, 2, 9, 11, 4, 7, 8, 5, 3, 10, 6], 1: [0, 7, 8, 6, 9, 11, 3, 10, 4, 5, 2], 2: [0, 3, 10, 9, 1, 6, 5, 7, 11, 4, 8], 3: [0, 1, 5, 9, 7, 8, 2, 10, 6, 11, 4], 4: [0, 8, 11, 2, 1, 5, 7, 6, 10, 9, 3], 5: [0, 8, 11, 7, 6, 10, 1, 3, 4, 2, 9], 6: [0, 10, 2, 9, 7, 11, 3, 5, 8, 1, 4], 7: [0, 1, 8, 10, 3, 6, 2, 4, 9, 11, 5], 8: [0, 10, 2, 9, 3, 7, 4, 1, 11, 6, 5], 9: [0, 8, 5, 4, 2, 11, 7, 10, 1, 3, 6], 10: [0, 4, 2, 8, 11, 5, 3, 7, 6, 1, 9], 11: [0, 1, 9, 10, 8, 7, 4, 5, 3, 2, 6]}"
8,23,0.06568670272827148,0.5915849208831787,"{0: [1, 9, 6, 2, 7, 10, 8, 5, 11, 4, 3], 1: [8, 6, 5, 4, 3, 10, 7, 9, 2, 0, 11], 2: [0, 6, 8, 4, 1, 9, 10, 5, 7, 3, 11], 3: [0, 11, 1, 10, 8, 6, 7, 9, 5, 2, 4], 4: [0, 6, 5, 3, 10, 2, 8, 1, 11, 9, 7], 5: [0, 9, 11, 8, 4, 10, 1, 2, 3, 6, 7], 6: [0, 4, 1, 2, 5, 3, 9, 7, 10, 8, 11], 7: [11, 5, 1, 4, 10, 8, 9, 0, 2, 3, 6], 8: [0, 2, 1, 4, 11, 5, 3, 6, 10, 7, 9], 9: [6, 7, 1, 0, 3, 11, 2, 5, 10, 4, 8], 10: [0, 6, 5, 3, 7, 9, 8, 1, 4, 2, 11], 11: [0, 6, 7, 5, 4, 3, 10, 8, 2, 1, 9]}"
9,23,0.05948591232299805,0.6531071662902832,"{0: [1, 11, 3, 9, 6, 8, 5, 4, 10, 2, 7], 1: [0, 2, 8, 5, 6, 3, 11, 10, 9, 4, 7], 2: [4, 9, 0, 5, 3, 11, 10, 7, 1, 6, 8], 3: [0, 2, 10, 6, 7, 11, 1, 5, 4, 9, 8], 4: [0, 1, 2, 8, 11, 6, 10, 5, 3, 9, 7], 5: [0, 10, 11, 6, 4, 3, 9, 8, 7, 2, 1], 6: [0, 9, 1, 7, 10, 4, 11, 2, 5, 3, 8], 7: [0, 10, 6, 11, 4, 1, 3, 2, 9, 5, 8], 8: [0, 10, 2, 11, 7, 5, 3, 9, 1, 6, 4], 9: [0, 7, 4, 8, 2, 3, 1, 5, 6, 10, 11], 10: [0, 8, 6, 7, 1, 5, 2, 4, 9, 11, 3], 11: [0, 1, 8, 5, 3, 2, 10, 7, 9, 6, 4]}"
10,23,0.05197882652282715,0.7072679996490479,"{0: [1, 2, 3, 7, 6, 8, 10, 5, 11, 9, 4], 1: [0, 2, 3, 9, 5, 10, 4, 11, 6, 8, 7], 2: [0, 1, 9, 10, 11, 5, 4, 7, 6, 8, 3], 3: [0, 2, 9, 1, 4, 6, 5, 10, 11, 8, 7], 4: [8, 3, 5, 11, 9, 0, 6, 7, 10, 1, 2], 5: [0, 10, 8, 1, 11, 2, 6, 9, 4, 3, 7], 6: [0, 3, 10, 8, 4, 9, 2, 5, 1, 7, 11], 7: [0, 3, 1, 5, 8, 4, 11, 6, 9, 10, 2], 8: [4, 11, 1, 3, 6, 0, 9, 2, 10, 5, 7], 9: [0, 4, 3, 11, 5, 6, 1, 2, 8, 10, 7], 10: [0, 2, 7, 6, 11, 3, 9, 1, 8, 4, 5], 11: [0, 3, 6, 10, 9, 8, 5, 1, 2, 4, 7]}"
