Algorithm,Graph Type,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Simulated_Annealing,complete_bipartite,10,3.0,28257,3.804731845855713,616652,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 4.0, 4.0]","{0: [5, 7, 9, 6, 8], 1: [5, 8, 6, 9, 7], 2: [5, 8, 9, 6, 7], 3: [5, 7, 6, 9, 8], 4: [5, 9, 6, 8, 7], 5: [0, 2, 1, 3, 4], 6: [0, 4, 3, 2, 1], 7: [0, 4, 2, 3, 1], 8: [0, 1, 4, 3, 2], 9: [0, 1, 2, 3, 4]}"
Simulated_Annealing,complete_bipartite,10,3.0,25927,3.6352381706237793,319878,"[7.0, 7.0, 8.0, 8.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 4.0, 4.0]","{0: [5, 7, 9, 6, 8], 1: [5, 7, 9, 8, 6], 2: [5, 8, 6, 9, 7], 3: [5, 8, 6, 9, 7], 4: [5, 9, 7, 6, 8], 5: [0, 2, 1, 4, 3], 6: [0, 3, 2, 4, 1], 7: [0, 3, 1, 2, 4], 8: [0, 1, 3, 4, 2], 9: [0, 4, 2, 1, 3]}"
Simulated_Annealing,complete_bipartite,10,3.0,28244,3.7268240451812735,19274,"[7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 6.0, 7.0, 6.0, 7.0, 7.0, 6.0, 7.0, 6.0, 4.0]","{0: [5, 8, 6, 7, 9], 1: [5, 7, 9, 6, 8], 2: [5, 9, 7, 8, 6], 3: [5, 6, 9, 8, 7], 4: [5, 9, 7, 6, 8], 5: [0, 2, 3, 1, 4], 6: [0, 1, 3, 2, 4], 7: [0, 4, 1, 3, 2], 8: [0, 4, 2, 3, 1], 9: [0, 2, 4, 3, 1]}"
Simulated_Annealing,complete_bipartite,10,4.0,6990,0.985774040222168,509509,"[8.0, 8.0, 8.0, 6.0, 7.0, 7.0, 7.0, 8.0, 6.0, 7.0, 6.0, 7.0, 6.0, 6.0, 7.0, 4.0]","{0: [5, 7, 9, 6, 8], 1: [5, 8, 7, 9, 6], 2: [5, 7, 8, 6, 9], 3: [5, 8, 9, 6, 7], 4: [5, 6, 9, 7, 8], 5: [0, 1, 4, 2, 3], 6: [0, 3, 2, 1, 4], 7: [0, 3, 2, 1, 4], 8: [0, 2, 3, 4, 1], 9: [0, 4, 1, 2, 3]}"
Simulated_Annealing,complete_bipartite,10,3.0,24361,3.612102270126343,789472,"[8.0, 7.0, 6.0, 7.0, 6.0, 6.0, 7.0, 7.0, 7.0, 6.0, 6.0, 5.0, 7.0, 7.0, 6.0, 3.0]","{0: [5, 7, 8, 6, 9], 1: [5, 6, 7, 8, 9], 2: [5, 8, 6, 9, 7], 3: [5, 9, 6, 8, 7], 4: [5, 7, 6, 9, 8], 5: [0, 1, 3, 4, 2], 6: [0, 4, 1, 2, 3], 7: [0, 2, 1, 4, 3], 8: [0, 3, 2, 4, 1], 9: [0, 3, 1, 4, 2]}"
Simulated_Annealing,complete_bipartite,10,4.0,14151,2.0472300052642822,600330,"[6.0, 7.0, 6.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 8.0, 6.0, 7.0, 7.0, 7.0, 7.0, 4.0]","{0: [5, 6, 9, 8, 7], 1: [5, 6, 9, 7, 8], 2: [5, 8, 6, 7, 9], 3: [5, 8, 6, 9, 7], 4: [5, 8, 7, 9, 6], 5: [0, 1, 2, 3, 4], 6: [0, 4, 3, 1, 2], 7: [0, 1, 4, 3, 2], 8: [0, 3, 4, 2, 1], 9: [0, 2, 3, 4, 1]}"
Simulated_Annealing,complete_bipartite,10,4.0,336,0.0458528995513916,225285,"[7.0, 8.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 6.0, 7.0, 7.0, 7.0, 4.0]","{0: [5, 7, 8, 6, 9], 1: [5, 9, 6, 7, 8], 2: [5, 9, 7, 8, 6], 3: [5, 8, 9, 6, 7], 4: [5, 6, 9, 8, 7], 5: [0, 1, 2, 4, 3], 6: [0, 4, 2, 1, 3], 7: [0, 3, 2, 1, 4], 8: [0, 4, 1, 3, 2], 9: [0, 3, 2, 4, 1]}"
Simulated_Annealing,complete_bipartite,10,3.0,15054,2.207700252532959,317450,"[6.0, 6.0, 7.0, 6.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 6.0, 7.0, 3.0, 3.0]","{0: [5, 8, 7, 9, 6], 1: [5, 6, 7, 8, 9], 2: [5, 7, 6, 9, 8], 3: [5, 8, 6, 9, 7], 4: [5, 7, 6, 9, 8], 5: [0, 1, 4, 3, 2], 6: [0, 2, 3, 4, 1], 7: [0, 1, 4, 2, 3], 8: [0, 2, 3, 4, 1], 9: [0, 3, 1, 4, 2]}"
Simulated_Annealing,complete_bipartite,10,3.0,28204,3.838234901428223,798460,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 6.0, 7.0, 7.0, 8.0, 7.0, 6.0, 4.0, 4.0]","{0: [5, 7, 9, 6, 8], 1: [5, 8, 7, 9, 6], 2: [5, 7, 9, 8, 6], 3: [5, 6, 9, 7, 8], 4: [5, 8, 6, 9, 7], 5: [0, 1, 3, 4, 2], 6: [0, 3, 1, 4, 2], 7: [0, 1, 3, 2, 4], 8: [0, 2, 4, 3, 1], 9: [0, 4, 1, 2, 3]}"
Simulated_Annealing,complete_bipartite,10,3.0,28708,3.79830813407898,685690,"[7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 8.0, 6.0, 7.0, 6.0, 7.0, 6.0, 7.0, 4.0]","{0: [5, 8, 6, 7, 9], 1: [5, 6, 9, 7, 8], 2: [5, 8, 7, 9, 6], 3: [5, 9, 8, 7, 6], 4: [5, 6, 7, 8, 9], 5: [0, 2, 4, 3, 1], 6: [0, 4, 2, 1, 3], 7: [0, 3, 4, 2, 1], 8: [0, 1, 2, 4, 3], 9: [0, 1, 2, 3, 4]}"
