Iteration,Fitness,FitnessEvalTime,Time,State
1,19,0.00019935526029028075,0.10986804962158203,"{0: [1, 5, 7, 9, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 7, 8, 1, 10, 4], 7: [0, 4, 6, 5, 1, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 5, 8, 7, 10, 3, 2, 6, 1, 4], 10: [0, 9, 6, 3, 4, 1, 7, 2, 8, 5]}"
2,18,0.00019524735633773033,0.2182149887084961,"{0: [1, 5, 7, 9, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 5, 1, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 5, 8, 7, 10, 3, 2, 6, 1, 4], 10: [0, 9, 6, 3, 4, 1, 7, 2, 8, 5]}"
3,17,0.00019704633288913302,0.32700395584106445,"{0: [1, 5, 7, 9, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 5, 1, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 5, 8, 7, 10, 3, 2, 6, 1, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
4,16,0.00019265365118932242,0.43400001525878906,"{0: [1, 5, 7, 9, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 5, 8, 7, 10, 3, 2, 6, 1, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
5,15,0.00019204857373478437,0.5401139259338379,"{0: [1, 5, 7, 9, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
6,14,0.00017696739447237264,0.6396842002868652,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
7,14,0.00017760317734997683,0.7402229309082031,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
8,14,0.00017677954953126233,0.8407180309295654,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
9,14,0.00017505462723548966,0.9393270015716553,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
10,14,0.00019972793983690667,1.0481719970703125,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
11,14,0.00017772599904224126,1.148205041885376,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
12,14,0.000176390012105306,1.2478139400482178,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
13,14,0.00025197231408321494,1.39786696434021,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
14,14,0.00017793732460099037,1.498871088027954,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
15,14,0.00017594929897423947,1.5977380275726318,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
16,14,0.00017721604819249625,1.6987111568450928,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
17,14,0.00017590474600743766,1.7990238666534424,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
18,14,0.00017622805605031023,1.898608922958374,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
19,14,0.0001755230354540276,1.997575044631958,"{0: [1, 5, 9, 7, 2, 8, 6, 4, 10, 3], 1: [0, 9, 8, 10, 2, 3, 6, 4, 7, 5], 2: [0, 8, 9, 3, 5, 1, 6, 7, 10, 4], 3: [0, 7, 2, 1, 5, 4, 10, 9, 6, 8], 4: [0, 5, 8, 10, 2, 3, 1, 7, 9, 6], 5: [0, 1, 10, 9, 7, 3, 2, 6, 4, 8], 6: [0, 2, 9, 5, 3, 4, 8, 1, 10, 7], 7: [0, 4, 6, 1, 5, 2, 8, 3, 9, 10], 8: [0, 6, 10, 4, 2, 1, 5, 9, 3, 7], 9: [0, 1, 8, 7, 10, 3, 2, 6, 5, 4], 10: [0, 9, 6, 3, 2, 1, 7, 4, 8, 5]}"
