Iteration,Fitness,FitnessEvalTime,Time,State
1,3,1.3466676076253255e-05,0.0013949871063232422,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
2,3,1.2894471486409506e-05,0.0028128623962402344,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
3,3,1.366138458251953e-05,0.004183769226074219,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
4,3,1.426537831624349e-05,0.0056340694427490234,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
5,3,1.4805793762207032e-05,0.007278919219970703,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
6,3,1.3283888498942058e-05,0.00864267349243164,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
7,3,1.2751420338948568e-05,0.009955883026123047,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
8,3,1.293023427327474e-05,0.011277914047241211,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
9,3,1.447598139444987e-05,0.012759685516357422,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
10,3,1.3049443562825521e-05,0.014116764068603516,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
11,3,1.2834866841634115e-05,0.015447854995727539,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
12,3,1.3577938079833985e-05,0.016839981079101562,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
13,3,1.2723604838053386e-05,0.018249988555908203,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
14,3,1.2755393981933594e-05,0.019583940505981445,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
15,3,1.4253457387288411e-05,0.020994901657104492,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
16,3,1.3999144236246745e-05,0.02242302894592285,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
17,3,1.3275941212972004e-05,0.023813962936401367,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
18,3,1.2747446695963542e-05,0.0251309871673584,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
19,3,1.3208389282226562e-05,0.0264739990234375,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
20,3,1.2850761413574218e-05,0.0278017520904541,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
21,3,1.4070669809977213e-05,0.029196739196777344,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
22,3,1.3275941212972004e-05,0.0305788516998291,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
23,3,1.2854735056559244e-05,0.031900882720947266,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
