Iteration,Fitness,FitnessEvalTime,Time,State
0,9,3.5643577575683594e-05,0.009235143661499023,"{0: [7, 6, 5, 4, 3, 2, 1], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 5, 4, 3, 1, 0], 3: [7, 6, 5, 4, 2, 1, 0], 4: [7, 6, 5, 3, 2, 1, 0], 5: [7, 6, 4, 3, 2, 1, 0], 6: [7, 5, 4, 3, 2, 1, 0], 7: [6, 5, 4, 3, 2, 1, 0]}"
1,9,3.237099874587286e-05,0.01786208152770996,"{0: [1, 2, 3, 4, 5, 6, 7], 1: [0, 2, 3, 4, 5, 6, 7], 2: [0, 1, 3, 4, 5, 6, 7], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [7, 6, 4, 3, 2, 1, 0], 6: [7, 5, 4, 3, 2, 1, 0], 7: [6, 5, 4, 3, 2, 1, 0]}"
2,9,3.406547364734468e-05,0.027523040771484375,"{0: [7, 6, 5, 4, 3, 2, 1], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 5, 4, 3, 1, 0], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [0, 1, 2, 3, 4, 6, 7], 6: [0, 1, 2, 3, 4, 5, 7], 7: [1, 6, 5, 4, 3, 2, 0]}"
3,8,3.0880882626488094e-05,0.0356290340423584,"{0: [1, 2, 3, 4, 5, 6, 7], 1: [0, 2, 3, 4, 5, 6, 7], 2: [0, 1, 3, 4, 5, 6, 7], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [7, 6, 4, 3, 2, 1, 0], 6: [7, 5, 4, 3, 2, 1, 0], 7: [0, 2, 3, 4, 1, 6, 5]}"
4,8,3.205452646527972e-05,0.04395699501037598,"{0: [4, 1, 2, 3, 5, 6, 7], 1: [0, 2, 3, 4, 5, 6, 7], 2: [0, 1, 3, 4, 5, 6, 7], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [7, 6, 4, 3, 2, 1, 0], 6: [7, 5, 4, 3, 2, 1, 0], 7: [0, 2, 3, 4, 1, 6, 5]}"
5,8,3.307348205929711e-05,0.05254316329956055,"{0: [7, 6, 5, 3, 2, 4, 1], 1: [0, 2, 3, 4, 5, 6, 7], 2: [0, 1, 3, 4, 5, 6, 7], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [7, 6, 4, 3, 2, 1, 0], 6: [7, 5, 4, 3, 2, 1, 0], 7: [0, 2, 3, 4, 1, 6, 5]}"
6,7,3.2258885247366766e-05,0.06087207794189453,"{0: [1, 4, 2, 3, 5, 6, 7], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 5, 4, 3, 1, 0], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [0, 1, 2, 3, 4, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [0, 2, 3, 4, 1, 6, 5]}"
7,7,3.23426155816941e-05,0.06918501853942871,"{0: [7, 1, 4, 2, 3, 5, 6], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 5, 4, 3, 1, 0], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [0, 1, 2, 3, 4, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [0, 2, 3, 4, 1, 6, 5]}"
8,7,3.2815195265270414e-05,0.07761192321777344,"{0: [6, 5, 3, 2, 4, 1, 7], 1: [0, 2, 3, 4, 5, 6, 7], 2: [0, 1, 3, 4, 5, 6, 7], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [0, 2, 3, 4, 1, 6, 5]}"
9,7,3.242066928318569e-05,0.08584809303283691,"{0: [7, 1, 4, 2, 3, 5, 6], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 5, 4, 3, 1, 0], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [1, 0, 2, 3, 4, 6, 5]}"
