Iteration,Fitness,FitnessEvalTime,Time,State
0,6,2.9956726800827752e-05,0.004755258560180664,"{0: [6, 5, 4, 3, 2, 1], 1: [6, 5, 4, 3, 2, 0], 2: [6, 5, 4, 3, 1, 0], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [6, 4, 3, 2, 1, 0], 6: [0, 1, 2, 3, 4, 5]}"
1,6,2.1939050583612353e-05,0.008628129959106445,"{0: [1, 2, 3, 4, 5, 6], 1: [0, 2, 3, 4, 5, 6], 2: [0, 1, 3, 4, 5, 6], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [0, 1, 2, 3, 6, 4], 6: [0, 1, 2, 3, 4, 5]}"
2,6,2.239318121047247e-05,0.012520313262939453,"{0: [6, 5, 4, 3, 2, 1], 1: [6, 5, 4, 3, 2, 0], 2: [6, 5, 4, 3, 1, 0], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [4, 6, 3, 2, 0, 1], 6: [0, 1, 2, 3, 4, 5]}"
3,6,2.4134772164481027e-05,0.016898155212402344,"{0: [1, 2, 3, 4, 5, 6], 1: [0, 2, 3, 4, 5, 6], 2: [5, 6, 4, 3, 1, 0], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [4, 6, 3, 2, 0, 1], 6: [0, 1, 2, 3, 4, 5]}"
4,5,3.09126717703683e-05,0.021996021270751953,"{0: [6, 5, 4, 3, 2, 1], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [4, 6, 3, 2, 0, 1], 6: [0, 1, 2, 3, 4, 5]}"
5,5,2.2729237874348957e-05,0.026774168014526367,"{0: [1, 2, 3, 4, 5, 6], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [0, 4, 6, 3, 2, 1], 6: [0, 1, 2, 3, 4, 5]}"
6,5,2.63191404796782e-05,0.031034231185913086,"{0: [6, 5, 4, 3, 2, 1], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [0, 1, 2, 3, 4, 5]}"
7,5,2.066975548153832e-05,0.03479814529418945,"{0: [1, 5, 6, 4, 3, 2], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [0, 1, 2, 3, 4, 5]}"
8,5,2.391451881045387e-05,0.038804054260253906,"{0: [6, 1, 5, 4, 3, 2], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [0, 1, 2, 3, 4, 5]}"
9,4,2.0785558791387648e-05,0.04237532615661621,"{0: [2, 3, 4, 5, 1, 6], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
