Iteration,Fitness,FitnessEvalTime,Time,State
1,6,2.5599002838134767e-05,0.004060983657836914,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
2,6,2.7027130126953125e-05,0.008271217346191406,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
3,6,2.5665760040283204e-05,0.012345314025878906,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
4,6,2.5699138641357423e-05,0.01639413833618164,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
5,6,2.5765895843505858e-05,0.020446062088012695,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
6,6,2.577066421508789e-05,0.02454209327697754,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
7,6,2.5682449340820312e-05,0.02863597869873047,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
8,6,2.5665760040283204e-05,0.03268313407897949,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
9,6,2.5691986083984376e-05,0.03673815727233887,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
10,6,2.57110595703125e-05,0.04079103469848633,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
11,6,2.5696754455566407e-05,0.044843196868896484,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
12,6,2.5663375854492188e-05,0.048911333084106445,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
13,6,2.5680065155029295e-05,0.052967071533203125,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
14,6,2.5768280029296875e-05,0.057019948959350586,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
15,6,2.5589466094970703e-05,0.06105804443359375,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
16,6,2.5634765625e-05,0.06510210037231445,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
17,6,2.562284469604492e-05,0.06916308403015137,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
18,6,2.5560855865478514e-05,0.07321715354919434,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
19,6,2.562999725341797e-05,0.07730531692504883,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
20,6,2.571582794189453e-05,0.08135819435119629,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
21,6,2.6330947875976562e-05,0.08548617362976074,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
22,6,2.580881118774414e-05,0.08956599235534668,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
23,6,2.604961395263672e-05,0.09366297721862793,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
24,6,2.5677680969238282e-05,0.09771132469177246,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
25,6,2.562999725341797e-05,0.10176324844360352,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
26,6,2.588033676147461e-05,0.10583615303039551,"{0: [7, 6, 5, 9, 8], 1: [5, 6, 7, 8, 9], 2: [8, 5, 6, 7, 9], 3: [7, 5, 8, 6, 9], 4: [6, 7, 5, 8, 9], 5: [4, 0, 1, 3, 2], 6: [3, 1, 4, 2, 0], 7: [0, 1, 4, 3, 2], 8: [2, 0, 3, 1, 4], 9: [4, 2, 0, 3, 1]}"
27,6,2.5360584259033204e-05,0.0039958953857421875,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
28,6,2.52532958984375e-05,0.007987022399902344,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
29,6,2.516984939575195e-05,0.012006998062133789,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
30,6,2.5212764739990234e-05,0.016012907028198242,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
31,6,2.5174617767333985e-05,0.02005791664123535,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
32,6,2.5122165679931642e-05,0.024049997329711914,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
33,6,2.5148391723632813e-05,0.028048992156982422,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
34,6,2.516031265258789e-05,0.03205680847167969,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
35,6,2.511024475097656e-05,0.03604483604431152,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
36,6,2.6214122772216798e-05,0.04014897346496582,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
37,6,2.5968551635742188e-05,0.04435300827026367,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
38,6,2.600431442260742e-05,0.04847908020019531,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
39,6,2.6617050170898438e-05,0.052752017974853516,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
40,6,2.5675296783447265e-05,0.056864023208618164,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
41,6,2.5207996368408204e-05,0.06087207794189453,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
42,6,2.5179386138916015e-05,0.06487512588500977,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
43,6,2.5174617767333985e-05,0.06891298294067383,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
44,6,2.512931823730469e-05,0.07291388511657715,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
45,6,2.602577209472656e-05,0.0770559310913086,"{0: [5, 9, 8, 6, 7], 1: [8, 9, 7, 5, 6], 2: [7, 9, 8, 5, 6], 3: [6, 7, 5, 9, 8], 4: [7, 9, 8, 5, 6], 5: [2, 0, 1, 4, 3], 6: [0, 1, 3, 4, 2], 7: [1, 4, 2, 3, 0], 8: [1, 4, 0, 3, 2], 9: [1, 4, 0, 3, 2]}"
